,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
868,1122,"TOUCHY FEELY is a closely observed examination of a family whose delicate psychic balance suddenly unravels. Abby (Rosemarie DeWitt), is a sought after massage therapist and a free spirit, while her brother Paul (Josh Pais) thrives on routine and convention, running a flagging dental practice and co-dependently enlisting the assistance of his emotionally stunted daughter Jenny (Ellen Page). Suddenly, transformation touches everyone. Abby develops an uncontrollable aversion to bodily contact, which not only makes her occupation impossible but severely hinders the passionate love life between her and her boyfriend (Scoot McNairy.) Meanwhile, rumors of Paul's ""healing touch"" begin to miraculously invigorate his practice as well as his life outside the office. As Abby navigates her way through a soul-searching identity crisis, her formerly skeptical brother discovers a whole new side of himself. TOUCHY FEELY is about the experience of living in one's own skin, both literally and figuratively. The film, written and directed by Shelton, and co-starring Allison Janney, Ron Livingston, and newcomer Tomo Nakayama (of the indie rock band Grand Hallway), is filmed on location in Shelton's hometown and urban muse of Seattle. (c) Magnolia",R,Drama,Lynn Shelton,Lynn Shelton,"Sep 6, 2013","Dec 10, 2013",$,35966,90 minutes,Magnolia Pictures
877,1136,"The Hobbit: An Unexpected Journey follows title character Bilbo Baggins, who is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor, which was long ago conquered by the dragon Smaug. Approached out of the blue by the wizard Gandalf the Grey, Bilbo finds himself joining a company of thirteen dwarves led by the legendary warrior Thorin Oakenshield. Although their goal lies to the East and the wastelands of the Lonely Mountain, first they must escape the goblin tunnels, where Bilbo meets the creature that will change his life forever... Gollum. Here, alone with Gollum, on the shores of an underground lake, the unassuming Bilbo Baggins not only discovers depths ofguile and courage that surprise even him, he also gains possession of Gollum's ""precious"" ...a simple, gold ring that is tied to the fate of all Middle-earth in ways Bilbo cannot begin to know. -- (C) Warner Bros",PG-13,Action and Adventure|Science Fiction and Fantasy,Peter Jackson,Peter Jackson|Philippa Boyens|Guillermo del Toro|Fran Walsh,"Dec 14, 2012","Mar 19, 2013",$,303001229,170 minutes,Warner Bros.
880,1140,"Johnny Knoxville and his crew of fun-loving masochists bring their routines to the big screen in this feature adaptation of the popular but controversial MTV series Jackass. A crew of young men perform a variety of strange, painful, and often humiliating stunts for the amusement of themselves and those around them, including crawling across dozens of mousetraps while wearing rodent make-up, being rolled down bowling lanes on skateboards, racing in golf carts across an ancient driving range, giving themselves self-inflicted paper cuts, making snow cones out of urine, tightrope walking over live alligators, using uninstalled sanitary plumbing in a hardware store, terrifying Japanese pedestrians while wearing panda costumes, and much, much more. Johnny Knoxville, the show's creator and star, returns to head up this movie version of Jackass, along with series regulars Bam Margera, Ryan Dunn, Chris Pontius, Steve-O, Dave England, Jason ""Wee Man"" Acuna, Preston Lacy, Ehren McGhehey, and Brandon DiCamillo; Henry Rollins, Tony Hawk, and Spike Jonze are among the movie's guest stars.",R,Comedy|Documentary,Jeff Tremaine,Jeff Tremaine|Johnny Knoxville,"Oct 25, 2002","Mar 25, 2003",$,64209101,84 minutes,Paramount Pictures
882,1143,"Adapted from Anne Holm's 1963 novel of the same name, I Am David is a family adventure film from writer/director Paul Feig, one of the creators of the short-lived, cult-favorite television dramedy Freaks and Geeks. Ben Tibber stars as David, a boy who, with the help of his friend Johannes (James Caviezel), escapes from a Bulgarian prison camp and begins a harrowing journey that leads him to Denmark via Italy. I Am David also stars Joan Plowright, Maria Bonnevie, and Silvia De Santis.",PG,Drama,Paul Feig,Paul Feig,"Dec 3, 2004","Apr 5, 2005",$,252018,95 minutes,Lions Gate Films
888,1149,"A failing high-school football coach finds that in order to succeed he must convince his team that there's more to sports than fame and glory in an inspirational tale of courage on the gridiron and the power of God's word. Grant Taylor (Alex Kendrick) has been coaching the Shiloh Eagles for six years, and he has yet to realize his dream of a winning season. When the team's star player transfers schools, the first three games of the new season show no promise for improvement, troubles at home begin to take their toll, and a plot among the player's fathers to have him fired finds his future in football looking bleak, Coach Taylor is faced with the prospect of either cutting his losses and admitting defeat or turning his life over to God in an attempt to test the true power of faith. With his job on the line and nothing left to lose, Coach Taylor convinces his determined team of underdogs that there's nothing they can't accomplish with a little faith -- including the miracle of a winning season when all hope seems lost.",PG,Drama|Faith and Spirituality,Alex Kendrick|Stephen Kendrick,Alex Kendrick|Stephen Kendrick,"Sep 29, 2006","Jan 30, 2007",$,10127352,111 minutes,Destination Film
889,1150,"A laid-back health inspector's comfortable routine receives an unwelcome shake up when he's assigned the task of training his new rookie partner and investigating the outbreak of a mysterious illness at one of the city's most posh restraints in this no-holds-barred comedy starring Blue Collar standup king Larry the Cable Guy. It's all greasy spoons and low-rent ethnic eateries in the world of seasoned big-city health inspector Larry (Larry the Cable Guy), and that's just the way he likes it. After begrudgingly accepting the task of training by-the-books trainee Amy (Iris Bahr), Larry lands the biggest case of his career when a group of high-class diners fall ill following a particularly pricey meal. Though the gruff but lovable health inspector soon loses his job as a direct result of his questionable manners, he soon wins the heart of a shy waitress while attempting to go undercover to crack the case and ensure that the conspirators who engineered the poisonous plan are brought to justice.",PG-13,Comedy,Trent Cooper,Jonathan Bernstein|James Greer,"Mar 24, 2006","Aug 8, 2006",$,15655665,89 minutes,Lions Gate Films
899,1162,"SNL alumni Tina Fey steps into the well worn shoes of journalist Kim Barker in Paramount Pictures' adaptation of Barker's memoir The Taliban Shuffle: Strange Days in Afghanistan and Pakistan, which details her years as a reporter in Pakistan and Afghanistan beginning in 2002.",R,Comedy|Drama,Glenn Ficarra|John Requa,Robert Carlock,"Mar 4, 2016","Jun 28, 2016",$,18356529,111 minutes,Paramount Pictures
905,1169,"From masters of horror Blumhouse Productions- producer of THE PURGE, INSIDIOUS and SINISTER franchises- THE LAZARUS EFFECT follows a group of researchers led by Frank (Mark Duplass) and his fianc",PG-13,Horror,David Gelb,Luke Dawson|Jeremy Slater,"Feb 27, 2015","Jun 16, 2015",$,20467547,83 minutes,Relativity Media
913,1180,"Despite having recently presided over a very successful Halloween, Jack Skellington, aka the Pumpkin King, is bored with his job and feels that life in Halloweenland lacks meaning. Then he stumbles upon Christmastown and promptly decides to make the Yuletide his own.",PG,Animation|Kids and Family|Science Fiction and Fantasy,Henry Selick|Tim Burton,Tim Burton|Caroline Thompson|Michael McDowell,"Oct 24, 1993","Dec 2, 1997",$,8616662,76 minutes,Touchstone Pictures
915,1183,"After making a striking directorial debut with her screen adaptation of The Virgin Suicides, Sofia Coppola offers a story of love and friendship blooming under unlikely circumstances in this comedy drama. Bob Harris (Bill Murray) is a well-known American actor whose career has gone into a tailspin; needing work, he takes a very large fee to appear in a commercial for Japanese whiskey to be shot in Tokyo. Feeling no small degree of culture shock in Japan, Bob spends most of his non-working hours at his hotel, where he meets Charlotte (Scarlett Johansson) at the bar. Twentysomething Charlotte is married to John (Giovanni Ribisi), a successful photographer who is in Tokyo on an assignment, leaving her to while away her time while he works. Beyond their shared bemusement and confusion with the sights and sounds of contemporary Tokyo, Bob and Charlotte share a similar dissatisfaction with their lives; the spark has gone out of Bob's marriage, and he's become disillusioned with his career. Meanwhile, Charlotte is puzzled with how much John has changed in their two years of marriage, while she's been unable to launch a creative career of her own. Bob and Charlotte become fast friends, and as they explore Tokyo, they begin to wonder if their sudden friendship might be growing into something more.",R,Comedy|Drama|Romance,Sofia Coppola,Sofia Coppola,"Sep 26, 2003","Feb 3, 2004",$,44566004,102 minutes,Focus Features
927,1200,In 1881 a younger member of the notorious James gang becomes so inextricably drawn to and frightened of his mentor that his own delusions of grandeur force him to consider doing the unthinkable.,R,Action and Adventure|Drama|Western,Andrew Dominik,Andrew Dominik,"Oct 5, 2007","Feb 5, 2008",$,3900000,159 minutes,Warner Bros. Pictures
933,1210,"A woman finds herself drafted into the battle of finding the perfect man in this romantic comedy. Sarah Nolan (Diane Lane) is a kindergarten teacher in her mid-thirties who is still dealing with the emotional aftermath of her divorce eight months ago. While her sisters, Christine (Ali Hillis) and Carol (Elizabeth Perkins), both think Sarah needs to start dating again, Sarah herself isn't so sure. Carol decides to force the issue by posting Sarah's photo and profile on an Internet dating site, and soon a number of seemingly eligible bachelors are sending her e-mails in hopes of a date. However, nearly every man she meets turns out to be a loser, with the exception of Jake (John Cusack), who is smart, good looking, and even brings along a dog for their walk in the park (though he doesn't tell her the pooch was borrowed for the occasion). However, Sarah also makes the acquaintance of Bob (Dermot Mulroney), the divorced father of one of her students, and she finds herself having to choose between two potentially worthwhile men. Meanwhile, Sarah's widowed father, Bill (Christopher Plummer), decides to give Internet dating a try, and lands himself a new steady in Dolly (Stockard Channing). Must Love Dogs is based on the best-selling novel of the same title by Claire Cook.",PG-13,Comedy|Drama|Romance,Gary David Goldberg,Gary David Goldberg,"Jul 29, 2005","Dec 20, 2005",$,43800000,98 minutes,Warner Bros. Pictures
944,1223,"A once-loving Chicago couple whose happily-ever-after quickly turned into a never-again finds their crumbling romance complicated when both parties refuse to move out of the pair's recently purchased condo. The Break-Up is a romantic comedy that starts where all the others end. The future once looked promising for thirtysomething couple Brooke (Jennifer Aniston) and Gary (Vince Vaughn), but lately it seems like a series of increasingly petty and intolerable squabbles have snuffed any semblance of romance in their relationship. Their confrontation endlessly fueled by mean-spirited suggestions of revenge tactics from friends and family and their stubborn refusal to budge resulting in an excruciating stalemate, Brooke and Gary ultimately decide to spitefully stick it out as hostile roommates until the weaker party eventually admits defeat. As the competition to drive one another out grows increasingly intense and outrageous, however, Brooke eventually comes to the realization that she's not fighting for possession of the condominium as much as she is fighting to salvage her relationship with the man she once viewed as the love of her life.",PG-13,Comedy|Drama|Romance,Peyton Reed,Vince Vaughn|Jeremy Garelick|Jay Lavender,"Jun 1, 2006","Oct 17, 2006",$,118683135,107 minutes,Universal Pictures
955,1236,"AMERICAN PASTORAL follows Seymour ""Swede"" Levov, a legendary high school athlete, who grows up to marry a former beauty queen and inherits his father's business. Swede's seemingly perfect life shatters when his daughter rebels by becoming a revolutionary and committing a deadly act of political terrorism during the Vietnam War.",R,Drama,Ewan McGregor,John Romano,"Oct 21, 2016","Feb 7, 2017",$,541457,126 minutes,Lakeshore Entertainment
956,1237,"Sarah Jessica Parker, Greg Kinnear, Pierce Brosnan, Olivia Munn and Christina Hendricks star in I Don't Know How She Does It, a comedy from director Douglas McGrath (Emma, Infamous) and producer Donna Gigliotti (The Reader, Let Me In). Based on the critically acclaimed bestseller by Allison Pearson, I Don't Know How She Does It follows a Boston-based working mother trying desperately to juggle marriage, children, and a high-stress job. -- (C) Weinstein",PG-13,Comedy,Douglas McGrath,Aline Brosh McKenna,"Sep 16, 2011","Jan 3, 2012",$,9500000,89 minutes,The Weinstein Co.
958,1239,"Something mysterious is happening in the Hundred Acre Wood. There are strange rumblings in the night, and the ground shakes and quakes. Pooh, Piglet, Tigger and Roo are told by Rabbit that it can only be one thing: Heffalumps. Whether or not Heffalumps are friends or foes remains to be seen.",G,Animation|Kids and Family,Frank Nissen,Brian Hohlfeld|Evan Spiliotopoulos,"Feb 11, 2005","May 24, 2005",$,18013938,67 minutes,Buena Vista
961,1243,"The true-life story of a coach who tries to teach his players that there's more to life than basketball is brought to the screen in this sports drama. Ken Carter (Samuel L. Jackson) was once a star player on the Richmond High School basketball team in Richmond, CA, and years later, after establishing himself in publishing and marketing, he returns to the school and to the team as the new basketball coach. Carter quickly sees that his work is cut out for him -- the team is having an awful season, and their fights off the court are more decisive than their play on the court. While Carter wants to make the Richmond cagers into a winning team, he also wants a lot more -- to teach the boys to respect themselves and one another, and that they must excel in the classroom as well as in the gymnasium. Under Carter's guidance, the team turns their losing season around, with the state title a genuine possibility. However, when Carter learns that a number of his players have let their grade point averages slip below 2.3, as mandated in a contract he entered into with the students, he decides to lock the team out of the gym and send them into study hall until their marks improve. Carter's plan quickly becomes a subject of controversy among parents and team boosters, and their objections are soon picked up by the local news media, many of whom are not sympathetic to Carter's belief that his players must have goals beyond college ball or the NBA. Coach Carter also features Rob Brown and Rick Gonzalez as members of the team, and R&amp;B; diva Ashanti in her film debut as the girlfriend of one of Carter's players.",PG-13,Drama,Thomas Carter,Mark Schwahn|John Gatins,"Jan 14, 2005","Jun 21, 2005",$,67169549,136 minutes,Paramount Pictures
967,1256,"Marc Forster's psychological thriller Stay stars Ewan McGregor as Sam Foster, a psychologist who begins to feel his grip on reality slipping away because of one of his patients. Ryan Gosling plays Henry Letham, a patient who has been offering disturbing predictions that have come true. When he claims that Henry will kill himself in three days, the psychiatrist sets off on a journey to help him. Written by David Benioff, the film co-stars Naomi Watts.",R,Drama|Mystery and Suspense|Science Fiction and Fantasy,Marc Forster,David Benioff,"Oct 21, 2005","Mar 28, 2006",$,3349167,99 minutes,20th Century Fox
970,1260,"With the recent assault on Berlusconi in Milan where a man threw a statuette at the prime minister hitting him in the face and causing considerable injury, and the subsequent notice by his administration that the government would seek tighter controls on Facebook and other social networking sites which they claim ""instigate"" violence against the prime minister, this elucidating probe of Italian mass media and political skullduggery comes to U.S. audiences at a bizarre and critical moment in Italian history.Thirty years ago, Silvio Berlusconi bought a local television channel and aired a late-night quiz show featuring a sexy housewife who took off her clothes to reward callers for correct answers. The only complaints came from local factories whose employees stayed up late to watch and were too tired to work the next day. From then on, Berlusconi's empire grew and his shows became evermore heavily populated with half-naked women known as veline, young starlets charged with posing and dancing sexy and silent next to the host.How can one explain the devolution of the politics and media culture of Italy in the age of its current prime minister and media emperor Silvio Berlusconi? As the owner of Mediaset, he controls the majority of the country's private television stations, and other media outlets such as, for example, Medusa, the country's largest motion picture producer. As Italy's political leader, he maintains considerable control of the state-run RAI channels, affording him an unprecedented hybrid of executive power and private interest to control the airwaves - and to numb the minds of the populace and unapologetically shape public opinion to his financial and political benefit. Cut to August of 2009 when, as reported by the Associated Press, the powers that be at RAI and Mediaset channels refused to broadcast the trailer of the a small independent film called VIDEOCRACY (just prior to its world premiere at the Venice Film Festival) calling the spots ""offensive to the honor and personal reputation of the prime minister."" The film dared to probe the methods and lives of key players in Berlusconi's empire, examining how they thrive in the secret leveraging of their own conflicted interests in the realms of fame, politics and finance. Understanding that words simply cannot do his story justice, director Erik Gandini richly illustrates VIDEOCRACY with the trashy TV clips, bucolic political spots and brazen press conferences that swept Berlusconi into power - and the pandering that outshines the crassest of American broadcasters by far. Approaching the material as both insider and outsider, Gandini gains remarkable access to the opulent world of Berlusconi's associates and the armies of willing wannabes that swarm around them. Subjects range from Silvio himself, to talent agent Lele Mora, to the infamous paparazzo Fabrizio Corona (currently imprisoned for extortion), to a factory worker seeking the fame that only television can supply. In an environment where any journalist inclined to criticism faces temptation to join the party, Gandini maintains a critical distance and unravels for the viewer a modern Italy as both comedy and tragedy. -- (C) Lorber",NR,Documentary|Special Interest|Television,Erik Gandini,Erik Gandini,"Aug 28, 2009","Sep 7, 2010",$,363,84 minutes,Lorber Films
972,1263,A man who writes the book on ending a romance runs into rough sledding while starting a new one in this comedy. Quincy (Jamie Foxx) is a magazine editor whose life takes an unexpected turn for the worse when his fianc,PG-13,Comedy|Romance,Daniel Taplitz,Daniel Taplitz,"May 14, 2004","Oct 12, 2004",$,11827301,86 minutes,Screen Gems
974,1265,"Beth (Diane Keaton) saves a bedraggled lost dog from the side of the freeway on a wintry day in Denver. Struggling with her distracted, self-involved husband Joseph (Kevin Kline) and an empty nest at home, Beth forms a special bond with the rescued animal. When Joseph loses the dog after their daughter's (Elisabeth Moss) wedding at their vacation home in the Rockies, Beth, distraught and angry with Joseph, enlists the help of the few remaining guests (Dianne Wiest, Richard Jenkins, Mark Duplass) and a mysterious woman (Ayelet Zurer) in a frantic search. -- (C) Sony Classics",PG-13,Comedy|Drama,Lawrence Kasdan,Lawrence Kasdan|Meg Kasdan,"Apr 20, 2012","Aug 28, 2012",$,793352,103 minutes,Sony Pictures Classics
977,1268,"After ten years of marriage, Jeff and Nealy Lang (Tobey Maguire and Elizabeth Banks) have an idyllic suburban home... and a relationship on the skids. But, when a family of hungry raccoons ransacks their perfectly manicured backyard, Jeff becomes single-mindedly obsessed with eradicating the pests by any means necessary. Soon the relentless rodents aren't merely uprooting the lawn, but also overturning the Langs' entire bourgeois existence, as the man-versus-beast battle leads into an absurd mess of infidelity, extortion, organ donation and other assorted mayhem. -- (C) Radius TWC",R,Comedy,Jacob Aaron Estes,Jacob Aaron Estes,"Nov 2, 2012","Apr 30, 2013",$,63595,91 minutes,The Weinstein Company
986,1279,"A handful of kids stranded without their parents is determined to make the most of a bad situation in this comedy. It's Christmas Eve, and Oliver Porter (Lewis Black), the passenger relations manager at a busy airport in the Midwest, is looking forward to spending Christmas in Hawaii with his wife after 15 years in a row working on the busy Yuletide holiday. However, fate conspires against him when a massive snowstorm sweeps in and all flights are canceled. Porter suddenly has to deal with a number of stranded passengers, including six tween-age kids who are each flying unaccompanied from one divorced parent to another -- spoiled little rich girl Grace (Gina Mantegna), geeky but likable Spencer (Dyllan Christopher), his pesky little sister Katy (Dominique Saldana), plus-size comic book fan Beef (Brett Kelly), grumpy tomboy Donna (Quinn Shephard), and bright but mischievous Charlie (Tyler James Williams). With his hands full and determined to make his way to the islands, Porter puts his assistant Zach Van Bourke (Wilmer Valderrama) in charge of the kids. Zach doesn't care for this assignment and the kids don't care for him, and before long they've escaped from the basement conference room where he's stashed them and turned the airport into their playground. Unaccompanied Minors also features Paget Brewster, Rob Corddry and Teri Garr.",PG,Comedy|Kids and Family,Paul Feig,Mya Stark|Jacob Meszaros,"Dec 8, 2006","Aug 7, 2007",$,16614132,89 minutes,Warner Bros.
995,1288,"A New Jersey rent-a-cop gets his moment to shine as the holidays approach and Santa's little helpers stage a coup at the local shopping mall in this comedy starring King of Queens' Kevin James. Paul Blart (James) is a single suburban dad attempting to make ends meet by working as a mall security guard. Paul takes his job very seriously; unfortunately the same can't be said for the shoppers he deals with on a daily basis. That all changes the day that Santa's little helpers shut down the mall and start taking hostages, including Paul's daughter and his main squeeze. Realizing that no one knows the mall better than the man who's paid to guard it, Paul mounts his Segway and speeds to the rescue.",PG,Comedy,Steve Carr,Kevin James|Nick Bakay,"Jan 16, 2009","May 19, 2009",$,146336178,91 minutes,Sony Pictures/Columbia Pictures
999,1292,"Writer/director Lisa Cholodenko follows up her much-acclaimed 1997 debut High Art with this examination of a young couple seduced into a hedonistic, left-coast lifestyle. Taking its title from its central locale, Laurel Canyon focuses on a pair of upper-middle class lovebirds from the East Coast who relocate to Los Angeles. Freshly minted from Harvard, Sam (Christian Bale) and Alex (Kate Beckinsale) are eager to continue their medical studies out West, but they need some lodging while they hunt for a home. Enter Jane (Frances McDormand), Sam's estranged, Age-of-Aquarius mom, who's more than willing to put the couple up in her lavish digs. Jane is a successful record producer whose latest charge -- both in the studio and in her bedroom -- is Ian (Alessandro Nivola), a brazen, libidinous twentysomething Brit-rocker. As Sam and Alex settle in at Jane's, they gradually lose their straight-and-narrow approach to life and begin to experiment. Alex takes to Ian and Jane, while Sam is wooed by co-worker Sara (Natascha McElhone). Laurel Canyon features a score by Shudder to Think's Craig Wedren; the music for Ian's band was provided by Sparklehorse's Mark Linkous and indie-rockers Folk Implosion.",R,Art House and International|Drama,Lisa Cholodenko,Lisa Cholodenko,"Mar 7, 2003","Jul 15, 2003",$,3596939,103 minutes,Sony Pictures Classics
1001,1295,"""Maleficent"" explores the untold story of Disney's most iconic villain from the classic ""Sleeping Beauty"" and the elements of her betrayal that ultimately turn her pure heart to stone. Driven by revenge and a fierce desire to protect the moors over which she presides, Maleficent cruelly places an irrevocable curse upon the human king's newborn infant Aurora. As the child grows, Aurora is caught in the middle of the seething conflict between the forest kingdom she has grown to love and the human kingdom that holds her legacy. Maleficent realizes that Aurora may hold the key to peace in the land and is forced to take drastic actions that will change both worlds forever. (c) Walt Disney Pictures",PG,Science Fiction and Fantasy,Robert Stromberg,Linda Woolverton,"May 30, 2014","Nov 4, 2014",$,190871149,97 minutes,Walt Disney Pictures
1007,1305,"A cow learns to walk like a man, both literally and figuratively, in this computer-animated comedy written and directed by Steve Oedekerk, the creator of Jimmy Neutron: Boy Genius. Ben (voice of Sam Elliott) is a cow who for years has been the leader and sober voice of reason among the animals at a farm where the critters are a bit unusual -- they can walk on two legs, talk, swim, and act like humans, though they have the good sense to avoid doing these things while humans are around. Ben has long dreamed that his son Otis (voice of Kevin James) would someday take over his duties on the farm, but Otis is a carefree and irresponsible type who would rather party with his friends and hang out with his girlfriend, Daisy (voice of Courteney Cox). Ben and his friend Miles (voice of Danny Glover), a wise and patient mule, wonder if Otis will ever make anything of himself, while Dasiy's best friend, Bessy (voice of Wanda Sykes), is convinced she can do better. However, one night Otis decides to do something about an obnoxious kid who enjoys tipping his fellow cows, and for the first time in his life he gets a taste of leadership -- and he likes it. Barnyard also features the voice talents of Andie MacDowell, Maria Bamford, and Maurice LaMarche.",PG,Animation|Comedy|Kids and Family,Steve Oedekerk,Steve Oedekerk,"Aug 4, 2006","Dec 12, 2006",$,72601713,90 minutes,Paramount Pictures
1016,1317,"For an awkward, self-conscious girl like Kiki, being the personal assistant to a beautiful mega-star like Gwen isn't easy. But when she dutifully accepts the task of helping Gwen and her estranged mega-star husband Eddie make it through one last public appearance masterminded by legendary press agent Lee Phillips, forever devoted Kiki finds that her job is about to get even harder. At first it seems her challenge is to keep the peace between Gwen and Eddie and their public image intact, but soon Kiki is faced with a more personal concern as her longtime friendship with Eddie begins to take a romantic turn.",PG-13,Comedy|Drama|Romance,Joe Roth,Donna Roth|Billy Crystal|Peter Tolan,"Jul 20, 2001","Nov 13, 2001",$,93008426,103 minutes,Columbia Pictures
1019,1320,"No matter whom we are, no matter where we live, we're all bound by borders. Many of us are content to live within these borders--others are simply forced to exist within them. But some of us need to break out, burst through, even if what is on the other side is both frightening and unknown. From this comes the tale of one young man's dilemma as he navigates his way through his colliding worlds. Set against Detroit's hip-hop scene in 1995, the story centers on Jimmy Smith Jr., a young white rapper, who struggles to find his voice. The people of Detroit know '8 Mile' as the city limit or a border. It is also a psychological dividing line that separates Jimmy from where and who he wants to be, as he struggles to find the strength and courage to transcend his boundaries.",R,Drama,Curtis Hanson,Scott Silver,"Nov 8, 2002","Mar 18, 2003",$,116638030,111 minutes,Universal Pictures
1020,1321,"In his follow-up to the four-time Academy Award (R)-nominated blockbuster The Help, Tate Taylor directs 42's Chadwick Boseman as James Brown in Get on Up. Based on the incredible life story of the Godfather of Soul, the film will give a fearless look inside the music, moves and moods of Brown, taking audiences on the journey from his impoverished childhood to his evolution into one of the most influential figures of the 20th century. Boseman is joined in the drama by Viola Davis, Octavia Spencer, Nelsan Ellis, Lennie James, Tika Sumpter, Jill Scott and Dan Aykroyd.",PG-13,Drama,Tate Taylor,Tate Taylor|Jez Butterworth|John-Henry Butterworth|Steven Baigelman,"Aug 1, 2014","Jan 6, 2015",$,22838662,138 minutes,Universal Pictures
1033,1337,"On the morning of his re-election, the President decides to read the newspaper for the first time in four years. This starts him down a slippery slope. He begins reading obsessively, reexamining his black and white view of the world, holing up in his bedroom in his pajamas. Frightened by the President's apparent nervous breakdown, his Chief of Staff pushes him back into the spotlight, booking him as a guest judge on the television ratings juggernaut (and the President's personal fave), the weekly talent show American Dreamz. America can't seem to get enough of American Dreamz, hosted by self-aggrandizing, self-loathing Martin Tweed, ever on the lookout for the next insta-celebrity. His latest crop of hopefuls includes Sally, a conniving steel magnolia with a devoted, dopey veteran boyfriend, and Omer, a recent Southern Californian immigrant (who just happens to be a bumbling, show tune singing, would-be terrorist awaiting activation). When both Sally and Omer make it to the final round of Dreamz -- where the President will be judging along with Tweed -- the stage is set for a show the nation will never forget.",PG-13,Comedy|Drama,Paul Weitz,Paul Weitz,"Apr 21, 2006","Oct 3, 2006",$,7156725,108 minutes,Universal Pictures
1035,1339,"When her director husband is occupied with work in Paris, an American woman takes a jaunt with his business associate, a charming Gallic rogue who is happy to squire her on a tour of some of the finest meals in Provence. The first feature directed by Eleanor Coppola, wife of Francis and director of the ""Apocalypse Now"" documentary ""Hearts of Darkness"".",PG,Comedy|Romance,Eleanor Coppola,Eleanor Coppola,"May 12, 2017","Sep 5, 2017",$,5617321,92 minutes,Sony Pictures Classics
1036,1340,"Produced by MTV Films, The Perfect Score is a teen crime comedy about a group of high school students who decide to steal the answers to the SAT exam. Kyle (Chris Evans) wants to be an architect, but his scores are too low to get into the school of his choice. Matty (Bryan Greenberg) is heartbroken when he is rejected from the school to which his girlfriend goes. Good girl Anna (Erika Christensen) is pressured by her parents to excel in academics and remain innocent. Desmond (Darius Miles) is a basketball player who believes the SAT exam is racist. Rounding out the group is gutsy Francesca (Scarlett Johansson) and lonely Roy (Leonardo Nam).",PG-13,Comedy|Drama|Mystery and Suspense,Brian Robbins,Mark Schwahn|Marc Hyman|Jon Zack,"Jan 30, 2004","Jun 29, 2004",$,10279192,92 minutes,Paramount Pictures
1038,1342,"It is not easy being a 9 year old in a new country. Tony has just moved with his parents, Dottie and Bob Thompson, from a big bustling city in America to a small village in a remote corner of Scotland. Every night, in his new home, Tony has nightmares about vampires, and he has no idea why. He soon becomes so absorbed by them that he starts studying every book he can find on the subject. His classmates tease him about his vampire obsession, especially the cruel local kids, Nigel and Flint, nephews of local squire, and Bob's employer, Lord McAshton. The teacher at his new school is so shocked he tells Tony's Mom about how worried he is; not a good start for the new kid in town. One evening, while in his room, practicing basic vampire moves, Tony gets a visit from a large bat, which transforms before his eyes into a 9 year old vampire boy, Rudolph, who happens to be extremely hungry, and convinced that Tony is one of his kind. Realizing that Tony is not a vampire, Rudolph tries to fly away again, but having no strength he just plummets straight to the ground outside Tony's window. Rookery the vampire hunter in his vampire hunting truck is in hot pursuit, and Tony, intrigued by the real life vampire he has met, protects Rudolph and, at his request, leads him to the local farm, where Rudolph drinks the blood of a cow. What later ensues is an adventurous caper during which Tony helps Rudolph find the mysterious missing half of the amulet that can help Rudolph and his family finally realize their dream - to become human again",PG,Action and Adventure|Comedy|Kids and Family,Uli Edel|Ulrich Edel,Karey Kirkpatrick|Larry Wilson|Nicholas Waller,"Oct 27, 2000","Mar 6, 2001",$,13432508,105 minutes,New Line Cinema
1066,1376,"""Couples Retreat"" follows four Midwestern couples who embark on a journey to a tropical island resort. While one of the couples is there to work on their marriage, the other three set out to jet ski, spa and enjoy some fun in the sun. They soon discover that participation in the resort's couple's therapy is not optional. Suddenly, their group-rate vacation comes at a price. What follows is a hilarious look at real world problems faced by all couples.",PG-13,Comedy,Peter Billingsley,Jon Favreau|Vince Vaughn|Dana Fox,"Oct 9, 2009","Feb 9, 2010",$,109176215,107 minutes,Universal Pictures
1071,1381,"When a one-night stand that should have stayed that way has unexpected consequences, the reluctant odd couple attempts to transform their tentative relationship into a lasting love in this conception comedy. Twenty-four-year-old entertainment journalist Alison Scott (Katherine Heigl) is on the fast track to the big time, but an alcohol-fueled hookup with responsibility-shirking slacker Ben Stone (Seth Rogen) finds her professional priorities taking a back seat to having a baby.",R,Comedy|Romance,Judd Apatow,Judd Apatow,"Jun 1, 2007","Sep 25, 2007",$,148734225,129 minutes,Universal
1088,1399,"Imagine the end of the world. Now imagine something worse. Award-winning filmmaker Trey Edward Shults follows his incredible debut feature KRISHA with IT COMES AT NIGHT, a horror film following a man (Joel Edgerton) as he learns that the evil stalking his family home may be only a prelude to horrors that come from within. Secure within a desolate home as an unnatural threat terrorizes the world, the tenuous domestic order he has established with his wife and son is put to the ultimate test with the arrival of a desperate young family seeking refuge. Despite the best intentions of both families, paranoia and mistrust boil over as the horrors outside creep ever-closer, awakening something hidden and monstrous within him as he learns that the protection of his family comes at the cost of his soul.",R,Drama|Horror,Trey Edward Shults,Trey Edward Shults,"Jun 9, 2017","Sep 12, 2017",$,13985117,91 minutes,A24
